fullVisitorId,PredictedLogRevenue
0000000259678714014,0.0
0000049363351866189,0.0
0000053049821714864,0.0
0000059488412965267,0.0
0000085840370633780,0.0
0000091131414287111,0.0
0000117255350596610,0.0
0000118334805178127,0.0
0000130646294093000,0.0
0000150005271820273,0.0
0000166374699289385,0.0
0000174453501096099,0.0
000018122977590134,0.0
000020731284570628,0.0
0000232022622082281,0.0
0000271086753662651,0.0
0000282648818935742,0.0
00003038793126460,0.0
0000313524203455157,0.0
0000324924635296742,0.0
0000338548677636278,0.0
0000354865008116989,0.0
0000359974620542953,0.0
0000384434116640351,0.0
0000385653946068037,0.0
0000397214032106948,0.0
0000414003317636552,0.0
0000421850492821864,0.0
0000436683523507380,0.0
0000443488189725694,0.0
0000446984872719825,0.0
0000461840188517261,0.0
0000466288435490222,0.0
0000467573077059612,0.0
0000468700899905680,0.0
0000508703012497929,0.0
0000564923216037189,0.0
0000593255797039768,0.0
000059785881683218,0.0
0000671967039542180,0.0
0000677695778949032,0.0
0000680182192278956,0.0
0000708243998753318,0.0
0000731043634860769,0.0
0000750760314301620,0.0
0000778000461554355,0.0
0000795713222238158,0.0
0000819687523361595,0.0
0000844628216443785,0.0
0000874371935363475,0.0
0000888186460465726,0.0
000089152042155758,0.0
000090799202817835,0.0
0000925251163754333,0.0
000094154452308463,0.0
0000952261940679292,0.0
0000953997374495158,0.0
0000955020478109523,0.0
000095817109154949,0.0
0000959812658547985,0.0
000096369688341885,0.0
0000981915582127700,0.0
0000998759681663618,0.0
0001039786191127093,0.0
0001050320968595467,0.0
0001059349366430257,0.0
000106364568517340,0.0
0001064412629072705,0.0
0001074102243856605,0.0
0001081498167183996,0.0
0001082359705607288,0.0
0001134352663641052,0.0
0001143450194979214,0.0
0001160613841948326,0.0
0001174205076208735,0.0
0001180769023960436,0.0
0001191766179392657,0.0
0001204798761326024,0.0
0001207443876423457,0.0
0001215806354387972,0.0
0001216015341831099,0.0
0001216166467180972,0.0
0001237566900745200,0.0
0001238783160665459,0.0
0001239543966837600,0.0
0001251773762451924,0.0
0001269799921883506,0.0
000133092152601524,0.0
00013360843297579,0.0
0001366732642246961,0.0
0001376836098133431,0.0
000137710042816150,0.0
0001383558582224363,0.0
0001399220722808057,0.0
000140003762682805,0.0
0001401657419969416,0.0
000141778304660879,0.0
0001443073703122175,0.0
0001456463908682535,0.0
0001499588478181249,0.0
0001521034365414265,0.0
0001522706438705020,0.0
0001527863526384268,0.0
0001549844784635831,0.0
0001558362101076442,0.0
0001563242590481903,0.0
000156555089030355,0.0
0001608509907657480,0.0
0001620857108943739,0.0
0001702630995130695,0.0
0001714290686890124,0.0
0001737926054836229,0.0
000184052201924153,0.0
0001846504472049605,0.0
000187555488332598,0.0
0001875931252987660,0.0
0001879941995876384,0.0
0001897577057470877,0.0
0001906189266477877,0.0
0001907711190075679,0.0
0001929672837823965,0.0
0001936363130317831,0.0
000194423290124101,0.0
0001945686758102181,0.0
0001958714107776682,0.0
0001987324086845513,0.0
000201726463538160,0.0
000202987394825005,0.0
0002032890182827978,0.0
0002060813735496365,0.0
0002065216011428397,0.0
0002087522811982773,0.0
0002101328721719967,0.0
0002125162122363222,0.0
0002132143469634581,0.0
0002166829391916726,0.0
0002185525346955446,0.0
0002221182387364046,0.0
0002261098850688772,0.0
0002336680911406577,0.0
0002343749961949649,0.0
0002347517244240373,0.0
0002361770015336910,0.0
0002377978560849356,0.0
0002397384054093542,0.0
0002430938450864333,0.0
0002457163364254438,0.0
0002461594319784504,0.0
000248459207073320,0.0
0002501478961971756,0.0
0002522407255149397,0.0
0002523221985546259,0.0
0002535986910614158,0.0
0002558578707030083,0.0
0002561204669760894,0.0
0002576315196457821,0.0
0002585859302677487,0.0
0002600563575127387,0.0
0002627501587485789,0.0
0002639880645876825,0.0
0002646517109225729,0.0
0002656956878997501,0.0
0002676061476317602,0.0
0002687568151309498,0.0
0002696063727734764,0.0
0002710340700180818,0.0
0002716572822023371,0.0
0002758957669861165,0.0
0002767095999940001,0.0
0002769318286578183,0.0
0002790207422855765,0.0
0002799237158907241,0.0
0002829393359174495,0.0
0002836235684197830,0.0
000283871516586017,0.0
0002895428147382341,0.0
0002898210441062509,0.0
0002917863251477448,0.0
0002919677215854338,0.0
0002982451707782308,0.0
0003017010793966649,0.0
0003023406332029710,0.0
0003043893911826217,0.0
0003052491226385463,0.0
0003069121087864265,0.0
0003093731366272676,0.0
0003117951959211834,0.0
0003211962777186329,0.0
0003221164989695564,0.0
0003236579055046448,0.0
0003237279499166974,0.0
0003246639026971304,0.0
0003255695047710127,0.0
0003276509072174900,0.0
0003302290844637533,0.0
000333560510239204,0.0
0003339162635100622,0.0
0003383691915264439,0.0
0003461036363602268,0.0
000347173676923961,0.0
0003507895265418847,0.0
0003551520803026512,0.0
000355844151343241,0.0
0003559803177548778,0.0
0003605190362116178,0.0
000361177133399441,0.0
0003629497701205327,0.0
0003631840334189025,0.0
0003637553471770670,0.0
0003646423327161039,0.0
0003701058811881767,0.0
000371953174703909,0.0
0003731025826846107,0.0
0003732642122489585,0.0
0003772553018786452,0.0
0003798841550262487,0.0
0003833135253635185,0.0
0003834933670919353,0.0
0003878430501315400,0.0
0003880794036466128,0.0
0003884275176972737,0.0
0003926634420940122,0.0
0003955080165394293,0.0
0004040738590757002,0.0
0004043856166892014,0.0
0004045808134356248,0.0
